Date;Speed;Wind speed (10m)
01/01/2012 0:00;8.86984;6.58
01/01/2012 1:00;8.9642;6.65
01/01/2012 2:00;9.47644;7.03
01/01/2012 3:00;10.01564;7.43
01/01/2012 4:00;10.35264;7.68
01/01/2012 5:00;10.39308;7.71
01/01/2012 6:00;9.9078;7.35
01/01/2012 7:00;9.1664;6.8
01/01/2012 8:00;9.15292;6.79
01/01/2012 9:00;9.11248;6.76
01/01/2012 10:00;9.3686;6.95
01/01/2012 11:00;9.31468;6.91
01/01/2012 12:00;9.44948;7.01
01/01/2012 13:00;9.48992;7.04
01/01/2012 14:00;9.26076;6.87
01/01/2012 15:00;8.81592;6.54
01/01/2012 16:00;8.45196;6.27
01/01/2012 17:00;8.50588;6.31
01/01/2012 18:00;8.65416;6.42
01/01/2012 19:00;8.762;6.5
01/01/2012 20:00;8.72156;6.47
01/01/2012 21:00;7.93972;5.89
01/01/2012 22:00;6.76696;5.02
01/01/2012 23:00;5.29764;3.93
02/01/2012 0:00;4.13836;3.07
02/01/2012 1:00;3.85528;2.86
02/01/2012 2:00;4.79888;3.56
02/01/2012 3:00;6.79392;5.04
02/01/2012 4:00;8.31716;6.17
02/01/2012 5:00;9.436;7
02/01/2012 6:00;10.21784;7.58
02/01/2012 7:00;9.9078;7.35
02/01/2012 8:00;9.11248;6.76
02/01/2012 9:00;8.33064;6.18
02/01/2012 10:00;8.39804;6.23
02/01/2012 11:00;8.78896;6.52
02/01/2012 12:00;9.05856;6.72
02/01/2012 13:00;8.65416;6.42
02/01/2012 14:00;8.84288;6.56
02/01/2012 15:00;9.28772;6.89
02/01/2012 16:00;9.69212;7.19
02/01/2012 17:00;9.93476;7.37
02/01/2012 18:00;10.05608;7.46
02/01/2012 19:00;10.05608;7.46
02/01/2012 20:00;10.05608;7.46
02/01/2012 21:00;9.74604;7.23
02/01/2012 22:00;9.20684;6.83
02/01/2012 23:00;9.48992;7.04
03/01/2012 0:00;10.2448;7.6
03/01/2012 1:00;10.5818;7.85
03/01/2012 2:00;11.21536;8.32
03/01/2012 3:00;11.30972;8.39
03/01/2012 4:00;11.63324;8.63
03/01/2012 5:00;11.74108;8.71
03/01/2012 6:00;11.53888;8.56
03/01/2012 7:00;12.22636;9.07
03/01/2012 8:00;13.72264;10.18
03/01/2012 9:00;15.165;11.25
03/01/2012 10:00;17.64532;13.09
03/01/2012 11:00;21.10968;15.66
03/01/2012 12:00;21.48712;15.94
03/01/2012 13:00;20.88052;15.49
03/01/2012 14:00;19.76168;14.66
03/01/2012 15:00;18.21148;13.51
03/01/2012 16:00;17.82056;13.22
03/01/2012 17:00;18.10364;13.43
03/01/2012 18:00;20.1526;14.95
03/01/2012 19:00;22.94296;17.02
03/01/2012 20:00;25.80072;19.14
03/01/2012 21:00;27.44528;20.36
03/01/2012 22:00;27.51268;20.41
03/01/2012 23:00;27.0274;20.05
04/01/2012 0:00;25.59852;18.99
04/01/2012 1:00;23.87308;17.71
04/01/2012 2:00;22.32288;16.56
04/01/2012 3:00;20.94792;15.54
04/01/2012 4:00;19.66732;14.59
04/01/2012 5:00;18.65632;13.84
04/01/2012 6:00;17.88796;13.27
04/01/2012 7:00;17.29484;12.83
04/01/2012 8:00;16.59388;12.31
04/01/2012 9:00;16.02772;11.89
04/01/2012 10:00;15.52896;11.52
04/01/2012 11:00;15.69072;11.64
04/01/2012 12:00;15.94684;11.83
04/01/2012 13:00;15.54244;11.53
04/01/2012 14:00;14.93584;11.08
04/01/2012 15:00;14.78756;10.97
04/01/2012 16:00;14.41012;10.69
04/01/2012 17:00;14.491;10.75
04/01/2012 18:00;14.07312;10.44
04/01/2012 19:00;13.56088;10.06
04/01/2012 20:00;14.2888;10.6
04/01/2012 21:00;15.28632;11.34
04/01/2012 22:00;15.7042;11.65
04/01/2012 23:00;15.54244;11.53
05/01/2012 0:00;15.0302;11.15
05/01/2012 1:00;13.84396;10.27
05/01/2012 2:00;11.76804;8.73
05/01/2012 3:00;11.30972;8.39
05/01/2012 4:00;12.17244;9.03
05/01/2012 5:00;12.92732;9.59
05/01/2012 6:00;13.31824;9.88
05/01/2012 7:00;14.20792;10.54
05/01/2012 8:00;13.6822;10.15
05/01/2012 9:00;11.9298;8.85
05/01/2012 10:00;10.43352;7.74
05/01/2012 11:00;10.00216;7.42
05/01/2012 12:00;10.70312;7.94
05/01/2012 13:00;12.71164;9.43
05/01/2012 14:00;14.5584;10.8
05/01/2012 15:00;15.71768;11.66
05/01/2012 16:00;15.42112;11.44
05/01/2012 17:00;13.77656;10.22
05/01/2012 18:00;11.63324;8.63
05/01/2012 19:00;9.59776;7.12
05/01/2012 20:00;8.10148;6.01
05/01/2012 21:00;7.2792;5.4
05/01/2012 22:00;7.0096;5.2
05/01/2012 23:00;7.42748;5.51
06/01/2012 0:00;8.03408;5.96
06/01/2012 1:00;8.33064;6.18
06/01/2012 2:00;8.46544;6.28
06/01/2012 3:00;8.16888;6.06
06/01/2012 4:00;7.46792;5.54
06/01/2012 5:00;6.69956;4.97
06/01/2012 6:00;5.82336;4.32
06/01/2012 7:00;5.44592;4.04
06/01/2012 8:00;5.55376;4.12
06/01/2012 9:00;5.09544;3.78
06/01/2012 10:00;4.93368;3.66
06/01/2012 11:00;4.81236;3.57
06/01/2012 12:00;4.381;3.25
06/01/2012 13:00;4.21924;3.13
06/01/2012 14:00;4.90672;3.64
06/01/2012 15:00;5.40548;4.01
06/01/2012 16:00;5.9986;4.45
06/01/2012 17:00;6.52432;4.84
06/01/2012 18:00;7.46792;5.54
06/01/2012 19:00;8.37108;6.21
06/01/2012 20:00;8.16888;6.06
06/01/2012 21:00;8.24976;6.12
06/01/2012 22:00;9.31468;6.91
06/01/2012 23:00;9.19336;6.82
07/01/2012 0:00;8.4924;6.3
07/01/2012 1:00;8.61372;6.39
07/01/2012 2:00;9.436;7
07/01/2012 3:00;10.86488;8.06
07/01/2012 4:00;10.55484;7.83
07/01/2012 5:00;9.28772;6.89
07/01/2012 6:00;7.98016;5.92
07/01/2012 7:00;7.5488;5.6
07/01/2012 8:00;8.0206;5.95
07/01/2012 9:00;8.85636;6.57
07/01/2012 10:00;9.24728;6.86
07/01/2012 11:00;9.61124;7.13
07/01/2012 12:00;10.16392;7.54
07/01/2012 13:00;10.77052;7.99
07/01/2012 14:00;10.9188;8.1
07/01/2012 15:00;11.04012;8.19
07/01/2012 16:00;11.04012;8.19
07/01/2012 17:00;10.89184;8.08
07/01/2012 18:00;10.73008;7.96
07/01/2012 19:00;11.0536;8.2
07/01/2012 20:00;10.1774;7.55
07/01/2012 21:00;9.85388;7.31
07/01/2012 22:00;9.58428;7.11
07/01/2012 23:00;9.34164;6.93
08/01/2012 0:00;9.00464;6.68
08/01/2012 1:00;8.86984;6.58
08/01/2012 2:00;8.72156;6.47
08/01/2012 3:00;8.20932;6.09
08/01/2012 4:00;8.12844;6.03
08/01/2012 5:00;8.00712;5.94
08/01/2012 6:00;7.69708;5.71
08/01/2012 7:00;7.22528;5.36
08/01/2012 8:00;7.42748;5.51
08/01/2012 9:00;8.14192;6.04
08/01/2012 10:00;8.60024;6.38
08/01/2012 11:00;8.53284;6.33
08/01/2012 12:00;7.77796;5.77
08/01/2012 13:00;6.64564;4.93
08/01/2012 14:00;5.82336;4.32
08/01/2012 15:00;5.1898;3.85
08/01/2012 16:00;4.56972;3.39
08/01/2012 17:00;4.044;3
08/01/2012 18:00;3.62612;2.69
08/01/2012 19:00;3.39696;2.52
08/01/2012 20:00;3.22172;2.39
08/01/2012 21:00;3.05996;2.27
08/01/2012 22:00;2.70948;2.01
08/01/2012 23:00;2.12984;1.58
09/01/2012 0:00;1.42888;1.06
09/01/2012 1:00;0.66052;0.49
09/01/2012 2:00;0.6066;0.45
09/01/2012 3:00;1.42888;1.06
09/01/2012 4:00;2.37248;1.76
09/01/2012 5:00;3.82832;2.84
