Hour;Price D-6;Price D-1;Price D
2015-09-13T00:00:00+02:00;51.6;49.79;59.31
2015-09-13T01:00:00+02:00;49;48.06;55.69
2015-09-13T02:00:00+02:00;46.48;45;42.1
2015-09-13T03:00:00+02:00;46.27;47.35;39.14
2015-09-13T04:00:00+02:00;45.58;45.13;36.5
2015-09-13T05:00:00+02:00;46.27;47.04;36
2015-09-13T06:00:00+02:00;51.05;49;36.5
2015-09-13T07:00:00+02:00;58.98;49.48;34
2015-09-13T08:00:00+02:00;60.01;52.95;32.1
2015-09-13T09:00:00+02:00;63.1;58.1;36.1
2015-09-13T10:00:00+02:00;64.96;58.1;36.5
2015-09-13T11:00:00+02:00;65.9;58.75;34.35
2015-09-13T12:00:00+02:00;67.08;57.16;30
2015-09-13T13:00:00+02:00;67.1;56;26.83
2015-09-13T14:00:00+02:00;64;54.98;24.1
2015-09-13T15:00:00+02:00;63.03;49.45;20
2015-09-13T16:00:00+02:00;63.03;47.12;12
2015-09-13T17:00:00+02:00;63.6;46.56;12.4
2015-09-13T18:00:00+02:00;63.1;48.76;25
2015-09-13T19:00:00+02:00;63.03;50.01;36.8
2015-09-13T20:00:00+02:00;66;55.1;42.11
2015-09-13T21:00:00+02:00;67.48;60.01;58.5
2015-09-13T22:00:00+02:00;62.22;54.1;56
2015-09-13T23:00:00+02:00;58.1;51.05;40
2015-09-14T00:00:00+02:00;59.31;59.31;34.19
2015-09-14T01:00:00+02:00;56.28;55.69;32.69
2015-09-14T02:00:00+02:00;53.98;42.1;29.99
2015-09-14T03:00:00+02:00;53.77;39.14;25.79
2015-09-14T04:00:00+02:00;54.27;36.5;25.76
2015-09-14T05:00:00+02:00;55.71;36;25.83
2015-09-14T06:00:00+02:00;59.59;36.5;37.97
2015-09-14T07:00:00+02:00;63.03;34;46.17
2015-09-14T08:00:00+02:00;63.55;32.1;50.78
2015-09-14T09:00:00+02:00;64.55;36.1;58.81
2015-09-14T10:00:00+02:00;65;36.5;59.59
2015-09-14T11:00:00+02:00;64.3;34.35;58.53
2015-09-14T12:00:00+02:00;65;30;59.51
2015-09-14T13:00:00+02:00;64.55;26.83;59.19
2015-09-14T14:00:00+02:00;62.35;24.1;56.28
2015-09-14T15:00:00+02:00;61.31;20;56.6
2015-09-14T16:00:00+02:00;61.51;12;56.69
2015-09-14T17:00:00+02:00;62.22;12.4;58.5
2015-09-14T18:00:00+02:00;62.22;25;58.81
2015-09-14T19:00:00+02:00;62.35;36.8;57
2015-09-14T20:00:00+02:00;65.5;42.11;61.51
2015-09-14T21:00:00+02:00;67.6;58.5;66.6
2015-09-14T22:00:00+02:00;63.1;56;58
2015-09-14T23:00:00+02:00;59.59;40;57
2015-09-15T00:00:00+02:00;61.85;34.19;52.69
2015-09-15T01:00:00+02:00;59.59;32.69;55
2015-09-15T02:00:00+02:00;57.5;29.99;49.99
2015-09-15T03:00:00+02:00;56;25.79;49.25
2015-09-15T04:00:00+02:00;54.75;25.76;48.44
2015-09-15T05:00:00+02:00;54.15;25.83;47.46
2015-09-15T06:00:00+02:00;60.68;37.97;49.5
2015-09-15T07:00:00+02:00;64;46.17;49.5
2015-09-15T08:00:00+02:00;64.1;50.78;49.62
2015-09-15T09:00:00+02:00;62.85;58.81;54.1
2015-09-15T10:00:00+02:00;64.1;59.59;54.01
2015-09-15T11:00:00+02:00;62.35;58.53;52.69
2015-09-15T12:00:00+02:00;62.6;59.51;52.05
2015-09-15T13:00:00+02:00;62.85;59.19;46.56
2015-09-15T14:00:00+02:00;60.52;56.28;41.1
2015-09-15T15:00:00+02:00;59.31;56.6;40.02
2015-09-15T16:00:00+02:00;59.59;56.69;40.02
