Date;Speed;Wind speed (10m)
01/01/2012 0:00;11.0691;7.53
01/01/2012 1:00;10.4958;7.14
01/01/2012 2:00;10.0842;6.86
01/01/2012 3:00;9.8343;6.69
01/01/2012 4:00;9.5844;6.52
01/01/2012 5:00;8.9817;6.11
01/01/2012 6:00;8.379;5.7
01/01/2012 7:00;7.9233;5.39
01/01/2012 8:00;8.2761;5.63
01/01/2012 9:00;7.6881;5.23
01/01/2012 10:00;6.5268;4.44
01/01/2012 11:00;4.7775;3.25
01/01/2012 12:00;3.2046;2.18
01/01/2012 13:00;1.8963;1.29
01/01/2012 14:00;1.0878;0.74
01/01/2012 15:00;2.4255;1.65
01/01/2012 16:00;3.6603;2.49
01/01/2012 17:00;4.4247;3.01
01/01/2012 18:00;4.8069;3.27
01/01/2012 19:00;5.1156;3.48
01/01/2012 20:00;5.4978;3.74
01/01/2012 21:00;5.8506;3.98
01/01/2012 22:00;6.1887;4.21
01/01/2012 23:00;6.4386;4.38
02/01/2012 0:00;6.6003;4.49
02/01/2012 1:00;6.7179;4.57
02/01/2012 2:00;6.7179;4.57
02/01/2012 3:00;6.7914;4.62
02/01/2012 4:00;7.203;4.9
02/01/2012 5:00;8.5554;5.82
02/01/2012 6:00;9.7461;6.63
02/01/2012 7:00;11.0397;7.51
02/01/2012 8:00;12.5097;8.51
02/01/2012 9:00;15.3027;10.41
02/01/2012 10:00;17.0373;11.59
02/01/2012 11:00;17.4342;11.86
02/01/2012 12:00;17.4636;11.88
02/01/2012 13:00;17.3754;11.82
02/01/2012 14:00;16.6698;11.34
02/01/2012 15:00;14.8029;10.07
02/01/2012 16:00;11.76;8
02/01/2012 17:00;10.3047;7.01
02/01/2012 18:00;9.5256;6.48
02/01/2012 19:00;9.8637;6.71
02/01/2012 20:00;9.9813;6.79
02/01/2012 21:00;9.8049;6.67
02/01/2012 22:00;9.3786;6.38
02/01/2012 23:00;9.1875;6.25
03/01/2012 0:00;9.2757;6.31
03/01/2012 1:00;9.4227;6.41
03/01/2012 2:00;9.408;6.4
03/01/2012 3:00;9.4521;6.43
03/01/2012 4:00;9.4521;6.43
03/01/2012 5:00;9.2316;6.28
03/01/2012 6:00;9.0111;6.13
03/01/2012 7:00;8.9964;6.12
03/01/2012 8:00;9.4374;6.42
03/01/2012 9:00;9.1434;6.22
03/01/2012 10:00;8.9523;6.09
03/01/2012 11:00;7.7028;5.24
03/01/2012 12:00;6.0858;4.14
03/01/2012 13:00;4.3659;2.97
03/01/2012 14:00;2.9988;2.04
03/01/2012 15:00;1.1172;0.76
03/01/2012 16:00;0.9996;0.68
03/01/2012 17:00;2.0286;1.38
03/01/2012 18:00;3.2634;2.22
03/01/2012 19:00;4.2189;2.87
03/01/2012 20:00;5.1009;3.47
03/01/2012 21:00;6.1005;4.15
03/01/2012 22:00;7.0854;4.82
03/01/2012 23:00;7.9233;5.39
04/01/2012 0:00;8.379;5.7
04/01/2012 1:00;8.7465;5.95
04/01/2012 2:00;9.3492;6.36
04/01/2012 3:00;9.9813;6.79
04/01/2012 4:00;10.3194;7.02
04/01/2012 5:00;10.3929;7.07
04/01/2012 6:00;10.5546;7.18
04/01/2012 7:00;10.8633;7.39
04/01/2012 8:00;11.5101;7.83
04/01/2012 9:00;12.1128;8.24
04/01/2012 10:00;16.0083;10.89
04/01/2012 11:00;17.4636;11.88
04/01/2012 12:00;17.5812;11.96
04/01/2012 13:00;17.3754;11.82
04/01/2012 14:00;16.611;11.3
04/01/2012 15:00;15.2439;10.37
04/01/2012 16:00;13.3182;9.06
04/01/2012 17:00;13.3035;9.05
04/01/2012 18:00;13.6857;9.31
04/01/2012 19:00;13.7886;9.38
04/01/2012 20:00;13.5828;9.24
04/01/2012 21:00;13.5387;9.21
04/01/2012 22:00;13.5681;9.23
04/01/2012 23:00;13.3182;9.06
05/01/2012 0:00;13.2447;9.01
05/01/2012 1:00;13.0536;8.88
05/01/2012 2:00;12.8184;8.72
05/01/2012 3:00;12.2304;8.32
05/01/2012 4:00;11.7306;7.98
05/01/2012 5:00;11.4513;7.79
05/01/2012 6:00;11.8923;8.09
05/01/2012 7:00;12.7008;8.64
05/01/2012 8:00;13.7151;9.33
