Date;Speed;Wind speed (10m)
01/01/2012 0:00;8.30482;6.17
01/01/2012 1:00;8.39904;6.24
01/01/2012 2:00;8.4798;6.3
01/01/2012 3:00;8.4798;6.3
01/01/2012 4:00;8.50672;6.32
01/01/2012 5:00;8.62786;6.41
01/01/2012 6:00;8.91052;6.62
01/01/2012 7:00;9.2201;6.85
01/01/2012 8:00;9.67774;7.19
01/01/2012 9:00;10.04116;7.46
01/01/2012 10:00;10.61994;7.89
01/01/2012 11:00;11.01028;8.18
01/01/2012 12:00;11.31986;8.41
01/01/2012 13:00;11.42754;8.49
01/01/2012 14:00;11.06412;8.22
01/01/2012 15:00;11.09104;8.24
01/01/2012 16:00;11.42754;8.49
01/01/2012 17:00;11.52176;8.56
01/01/2012 18:00;11.07758;8.23
01/01/2012 19:00;10.08154;7.49
01/01/2012 20:00;9.73158;7.23
01/01/2012 21:00;9.2201;6.85
01/01/2012 22:00;8.72208;6.48
01/01/2012 23:00;8.84322;6.57
02/01/2012 0:00;8.8163;6.55
02/01/2012 1:00;8.78938;6.53
02/01/2012 2:00;8.64132;6.42
02/01/2012 3:00;8.80284;6.54
02/01/2012 4:00;8.87014;6.59
02/01/2012 5:00;8.89706;6.61
02/01/2012 6:00;8.85668;6.58
02/01/2012 7:00;8.97782;6.67
02/01/2012 8:00;9.03166;6.71
02/01/2012 9:00;8.92398;6.63
02/01/2012 10:00;8.58748;6.38
02/01/2012 11:00;8.22406;6.11
02/01/2012 12:00;8.42596;6.26
02/01/2012 13:00;8.84322;6.57
02/01/2012 14:00;8.6817;6.45
02/01/2012 15:00;7.9414;5.9
02/01/2012 16:00;7.51068;5.58
02/01/2012 17:00;7.29532;5.42
02/01/2012 18:00;7.12034;5.29
02/01/2012 19:00;7.10688;5.28
02/01/2012 20:00;7.30878;5.43
02/01/2012 21:00;7.45684;5.54
02/01/2012 22:00;7.90102;5.87
02/01/2012 23:00;8.42596;6.26
03/01/2012 0:00;8.58748;6.38
03/01/2012 1:00;8.91052;6.62
03/01/2012 2:00;9.2874;6.9
03/01/2012 3:00;9.71812;7.22
03/01/2012 4:00;10.01424;7.44
03/01/2012 5:00;10.18922;7.57
03/01/2012 6:00;10.64686;7.91
03/01/2012 7:00;10.99682;8.17
03/01/2012 8:00;10.94298;8.13
03/01/2012 9:00;10.75454;7.99
03/01/2012 10:00;10.74108;7.98
03/01/2012 11:00;10.72762;7.97
03/01/2012 12:00;10.57956;7.86
03/01/2012 13:00;10.2969;7.65
03/01/2012 14:00;10.095;7.5
03/01/2012 15:00;10.17576;7.56
03/01/2012 16:00;10.37766;7.71
03/01/2012 17:00;10.48534;7.79
03/01/2012 18:00;10.53918;7.83
03/01/2012 19:00;10.5661;7.85
03/01/2012 20:00;10.55264;7.84
03/01/2012 21:00;10.55264;7.84
03/01/2012 22:00;10.4315;7.75
03/01/2012 23:00;10.12192;7.52
04/01/2012 0:00;9.54314;7.09
04/01/2012 1:00;8.749;6.5
04/01/2012 2:00;7.37608;5.48
04/01/2012 3:00;5.76088;4.28
04/01/2012 4:00;4.54948;3.38
04/01/2012 5:00;3.5669;2.65
04/01/2012 6:00;3.21694;2.39
04/01/2012 7:00;3.24386;2.41
04/01/2012 8:00;3.32462;2.47
04/01/2012 9:00;3.04196;2.26
04/01/2012 10:00;2.2209;1.65
04/01/2012 11:00;1.31908;0.98
04/01/2012 12:00;1.89786;1.41
04/01/2012 13:00;1.7498;1.3
04/01/2012 14:00;1.13064;0.84
04/01/2012 15:00;1.8171;1.35
04/01/2012 16:00;2.24782;1.67
04/01/2012 17:00;3.12272;2.32
04/01/2012 18:00;3.55344;2.64
04/01/2012 19:00;4.09184;3.04
04/01/2012 20:00;4.3072;3.2
04/01/2012 21:00;5.23594;3.89
04/01/2012 22:00;6.057;4.5
04/01/2012 23:00;6.31274;4.69
05/01/2012 0:00;6.67616;4.96
05/01/2012 1:00;7.42992;5.52
05/01/2012 2:00;8.06254;5.99
05/01/2012 3:00;8.10292;6.02
05/01/2012 4:00;7.57798;5.63
05/01/2012 5:00;6.98574;5.19
05/01/2012 6:00;6.47426;4.81
05/01/2012 7:00;6.15122;4.57
05/01/2012 8:00;6.15122;4.57
05/01/2012 9:00;6.54156;4.86
05/01/2012 10:00;7.0665;5.25
05/01/2012 11:00;7.6049;5.65
05/01/2012 12:00;7.83372;5.82
05/01/2012 13:00;7.71258;5.73
05/01/2012 14:00;7.36262;5.47
05/01/2012 15:00;6.63578;4.93
05/01/2012 16:00;5.96278;4.43
05/01/2012 17:00;5.42438;4.03
05/01/2012 18:00;4.95328;3.68
05/01/2012 19:00;4.73792;3.52
05/01/2012 20:00;4.36104;3.24
05/01/2012 21:00;3.91686;2.91
05/01/2012 22:00;3.75534;2.79
05/01/2012 23:00;3.58036;2.66
06/01/2012 0:00;3.4323;2.55
06/01/2012 1:00;3.32462;2.47
06/01/2012 2:00;3.21694;2.39
06/01/2012 3:00;3.17656;2.36
06/01/2012 4:00;3.20348;2.38
06/01/2012 5:00;3.31116;2.46
06/01/2012 6:00;3.4323;2.55
06/01/2012 7:00;3.44576;2.56
06/01/2012 8:00;3.365;2.5
06/01/2012 9:00;3.41884;2.54
06/01/2012 10:00;3.365;2.5
06/01/2012 11:00;3.52652;2.62
06/01/2012 12:00;3.58036;2.66
06/01/2012 13:00;3.60728;2.68
06/01/2012 14:00;3.55344;2.64
06/01/2012 15:00;3.365;2.5
06/01/2012 16:00;3.37846;2.51
06/01/2012 17:00;3.5669;2.65
06/01/2012 18:00;3.59382;2.67
06/01/2012 19:00;3.48614;2.59
06/01/2012 20:00;3.28424;2.44
06/01/2012 21:00;3.28424;2.44
06/01/2012 22:00;3.4323;2.55
06/01/2012 23:00;3.7015;2.75
07/01/2012 0:00;3.8361;2.85
07/01/2012 1:00;3.9034;2.9
07/01/2012 2:00;3.9034;2.9
07/01/2012 3:00;3.94378;2.93
07/01/2012 4:00;4.038;3
07/01/2012 5:00;4.14568;3.08
07/01/2012 6:00;4.21298;3.13
07/01/2012 7:00;4.22644;3.14
07/01/2012 8:00;4.22644;3.14
07/01/2012 9:00;4.21298;3.13
07/01/2012 10:00;4.34758;3.23
07/01/2012 11:00;4.3745;3.25
07/01/2012 12:00;4.34758;3.23
07/01/2012 13:00;4.61678;3.43
07/01/2012 14:00;5.03404;3.74
07/01/2012 15:00;5.22248;3.88
07/01/2012 16:00;5.34362;3.97
07/01/2012 17:00;5.46476;4.06
07/01/2012 18:00;5.3167;3.95
07/01/2012 19:00;5.0475;3.75
07/01/2012 20:00;4.76484;3.54
07/01/2012 21:00;4.65716;3.46
07/01/2012 22:00;4.56294;3.39
07/01/2012 23:00;4.5091;3.35
08/01/2012 0:00;4.52256;3.36
08/01/2012 1:00;4.58986;3.41
08/01/2012 2:00;4.48218;3.33
08/01/2012 3:00;4.48218;3.33
08/01/2012 4:00;4.40142;3.27
08/01/2012 5:00;4.36104;3.24
08/01/2012 6:00;4.61678;3.43
08/01/2012 7:00;4.9129;3.65
08/01/2012 8:00;5.37054;3.99
08/01/2012 9:00;5.63974;4.19
08/01/2012 10:00;6.16468;4.58
08/01/2012 11:00;6.1916;4.6
08/01/2012 12:00;5.88202;4.37
08/01/2012 13:00;5.54552;4.12
08/01/2012 14:00;5.30324;3.94
08/01/2012 15:00;5.20902;3.87
08/01/2012 16:00;5.42438;4.03
08/01/2012 17:00;6.1243;4.55
08/01/2012 18:00;6.38004;4.74
08/01/2012 19:00;6.42042;4.77
08/01/2012 20:00;6.33966;4.71
08/01/2012 21:00;6.11084;4.54
08/01/2012 22:00;6.08392;4.52
08/01/2012 23:00;6.03008;4.48
09/01/2012 0:00;5.82818;4.33
09/01/2012 1:00;5.74742;4.27
09/01/2012 2:00;5.55898;4.13
09/01/2012 3:00;5.69358;4.23
09/01/2012 4:00;5.90894;4.39
09/01/2012 5:00;6.33966;4.71
09/01/2012 6:00;6.78384;5.04
09/01/2012 7:00;7.17418;5.33
09/01/2012 8:00;7.12034;5.29
09/01/2012 9:00;6.8646;5.1
09/01/2012 10:00;7.01266;5.21
09/01/2012 11:00;7.03958;5.23
09/01/2012 12:00;6.91844;5.14
09/01/2012 13:00;7.02612;5.22
09/01/2012 14:00;7.25494;5.39
09/01/2012 15:00;7.37608;5.48
09/01/2012 16:00;7.56452;5.62
09/01/2012 17:00;7.83372;5.82
09/01/2012 18:00;7.86064;5.84
09/01/2012 19:00;7.82026;5.81
09/01/2012 20:00;7.65874;5.69
09/01/2012 21:00;7.49722;5.57
09/01/2012 22:00;7.3357;5.45
09/01/2012 23:00;7.403;5.5
10/01/2012 0:00;7.28186;5.41
