datetime;Hour;Price
2016-01-01T00:00:00+01:00;01/01/2016 0:00;16.39
2016-01-01T01:00:00+01:00;01/01/2016 1:00;16.04
2016-01-01T02:00:00+01:00;01/01/2016 2:00;15.74
2016-01-01T03:00:00+01:00;01/01/2016 3:00;15.57
2016-01-01T04:00:00+01:00;01/01/2016 4:00;15.47
2016-01-01T05:00:00+01:00;01/01/2016 5:00;15.75
2016-01-01T06:00:00+01:00;01/01/2016 6:00;15.36
2016-01-01T07:00:00+01:00;01/01/2016 7:00;15.37
2016-01-01T08:00:00+01:00;01/01/2016 8:00;15.19
2016-01-01T09:00:00+01:00;01/01/2016 9:00;15.39
2016-01-01T10:00:00+01:00;01/01/2016 10:00;15.78
2016-01-01T11:00:00+01:00;01/01/2016 11:00;16.15
2016-01-01T12:00:00+01:00;01/01/2016 12:00;16.5
2016-01-01T13:00:00+01:00;01/01/2016 13:00;16.72
2016-01-01T14:00:00+01:00;01/01/2016 14:00;17.17
2016-01-01T15:00:00+01:00;01/01/2016 15:00;18
2016-01-01T16:00:00+01:00;01/01/2016 16:00;18.53
2016-01-01T17:00:00+01:00;01/01/2016 17:00;19.11
2016-01-01T18:00:00+01:00;01/01/2016 18:00;18.68
2016-01-01T19:00:00+01:00;01/01/2016 19:00;17.93
2016-01-01T20:00:00+01:00;01/01/2016 20:00;17.69
2016-01-01T21:00:00+01:00;01/01/2016 21:00;17.33
2016-01-01T22:00:00+01:00;01/01/2016 22:00;16.75
2016-01-01T23:00:00+01:00;01/01/2016 23:00;16.25
2016-01-02T00:00:00+01:00;02/01/2016 0:00;0.67
2016-01-02T01:00:00+01:00;02/01/2016 1:00;9.9
2016-01-02T02:00:00+01:00;02/01/2016 2:00;15.03
2016-01-02T03:00:00+01:00;02/01/2016 3:00;12.77
2016-01-02T04:00:00+01:00;02/01/2016 4:00;11.27
2016-01-02T05:00:00+01:00;02/01/2016 5:00;11.91
2016-01-02T06:00:00+01:00;02/01/2016 6:00;12.62
2016-01-02T07:00:00+01:00;02/01/2016 7:00;13.83
2016-01-02T08:00:00+01:00;02/01/2016 8:00;16.12
2016-01-02T09:00:00+01:00;02/01/2016 9:00;15.72
2016-01-02T10:00:00+01:00;02/01/2016 10:00;15.97
2016-01-02T11:00:00+01:00;02/01/2016 11:00;15.98
2016-01-02T12:00:00+01:00;02/01/2016 12:00;15.87
2016-01-02T13:00:00+01:00;02/01/2016 13:00;15.98
2016-01-02T14:00:00+01:00;02/01/2016 14:00;15.99
2016-01-02T15:00:00+01:00;02/01/2016 15:00;15.99
2016-01-02T16:00:00+01:00;02/01/2016 16:00;16.22
2016-01-02T17:00:00+01:00;02/01/2016 17:00;16.51
2016-01-02T18:00:00+01:00;02/01/2016 18:00;16.37
2016-01-02T19:00:00+01:00;02/01/2016 19:00;16.08
2016-01-02T20:00:00+01:00;02/01/2016 20:00;16.15
2016-01-02T21:00:00+01:00;02/01/2016 21:00;15.83
2016-01-02T22:00:00+01:00;02/01/2016 22:00;15.82
2016-01-02T23:00:00+01:00;02/01/2016 23:00;15.31
2016-01-03T00:00:00+01:00;03/01/2016 0:00;6.99
2016-01-03T01:00:00+01:00;03/01/2016 1:00;-0.01
2016-01-03T02:00:00+01:00;03/01/2016 2:00;0.23
2016-01-03T03:00:00+01:00;03/01/2016 3:00;4.51
2016-01-03T04:00:00+01:00;03/01/2016 4:00;4.12
2016-01-03T05:00:00+01:00;03/01/2016 5:00;6.76
2016-01-03T06:00:00+01:00;03/01/2016 6:00;0.75
2016-01-03T07:00:00+01:00;03/01/2016 7:00;4.27
2016-01-03T08:00:00+01:00;03/01/2016 8:00;9.11
2016-01-03T09:00:00+01:00;03/01/2016 9:00;15.92
2016-01-03T10:00:00+01:00;03/01/2016 10:00;16.7
2016-01-03T11:00:00+01:00;03/01/2016 11:00;16.49
2016-01-03T12:00:00+01:00;03/01/2016 12:00;16.37
2016-01-03T13:00:00+01:00;03/01/2016 13:00;16.35
2016-01-03T14:00:00+01:00;03/01/2016 14:00;16.35
2016-01-03T15:00:00+01:00;03/01/2016 15:00;16.3
2016-01-03T16:00:00+01:00;03/01/2016 16:00;16.45
2016-01-03T17:00:00+01:00;03/01/2016 17:00;17.22
2016-01-03T18:00:00+01:00;03/01/2016 18:00;16.83
2016-01-03T19:00:00+01:00;03/01/2016 19:00;16.48
2016-01-03T20:00:00+01:00;03/01/2016 20:00;16.43
2016-01-03T21:00:00+01:00;03/01/2016 21:00;16.43
2016-01-03T22:00:00+01:00;03/01/2016 22:00;17.03
2016-01-03T23:00:00+01:00;03/01/2016 23:00;14.43
2016-01-04T00:00:00+01:00;04/01/2016 0:00;13.78
2016-01-04T01:00:00+01:00;04/01/2016 1:00;12.77
2016-01-04T02:00:00+01:00;04/01/2016 2:00;10.56
2016-01-04T03:00:00+01:00;04/01/2016 3:00;3.87
2016-01-04T04:00:00+01:00;04/01/2016 4:00;3.2
2016-01-04T05:00:00+01:00;04/01/2016 5:00;8.67
2016-01-04T06:00:00+01:00;04/01/2016 6:00;18.01
2016-01-04T07:00:00+01:00;04/01/2016 7:00;19.54
2016-01-04T08:00:00+01:00;04/01/2016 8:00;20.49
2016-01-04T09:00:00+01:00;04/01/2016 9:00;20.49
2016-01-04T10:00:00+01:00;04/01/2016 10:00;20.47
2016-01-04T11:00:00+01:00;04/01/2016 11:00;20.14
2016-01-04T12:00:00+01:00;04/01/2016 12:00;19.85
2016-01-04T13:00:00+01:00;04/01/2016 13:00;19.83
2016-01-04T14:00:00+01:00;04/01/2016 14:00;19.88
2016-01-04T15:00:00+01:00;04/01/2016 15:00;20.09
2016-01-04T16:00:00+01:00;04/01/2016 16:00;20.79
2016-01-04T17:00:00+01:00;04/01/2016 17:00;21.07
2016-01-04T18:00:00+01:00;04/01/2016 18:00;20.54
2016-01-04T19:00:00+01:00;04/01/2016 19:00;19.77
2016-01-04T20:00:00+01:00;04/01/2016 20:00;19.05
2016-01-04T21:00:00+01:00;04/01/2016 21:00;18.5
2016-01-04T22:00:00+01:00;04/01/2016 22:00;17.71
2016-01-04T23:00:00+01:00;04/01/2016 23:00;17.03
2016-01-05T00:00:00+01:00;05/01/2016 0:00;17.68
2016-01-05T01:00:00+01:00;05/01/2016 1:00;17.33
2016-01-05T02:00:00+01:00;05/01/2016 2:00;17.24
2016-01-05T03:00:00+01:00;05/01/2016 3:00;17.32
2016-01-05T04:00:00+01:00;05/01/2016 4:00;17.66
2016-01-05T05:00:00+01:00;05/01/2016 5:00;17.92
2016-01-05T06:00:00+01:00;05/01/2016 6:00;18.8
2016-01-05T07:00:00+01:00;05/01/2016 7:00;20.51
2016-01-05T08:00:00+01:00;05/01/2016 8:00;22.58
2016-01-05T09:00:00+01:00;05/01/2016 9:00;21.73
2016-01-05T10:00:00+01:00;05/01/2016 10:00;21.78
